inventory_id,organization_id,blood_group,component,units_available,last_updated,data_source
INV-ORG-001-A+,ORG-001,A+,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-A-,ORG-001,A-,PRBC,9,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-B+,ORG-001,B+,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-B-,ORG-001,B-,PRBC,5,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-AB+,ORG-001,AB+,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-AB-,ORG-001,AB-,PRBC,0,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-O+,ORG-001,O+,PRBC,8,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-001-O-,ORG-001,O-,PRBC,5,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-A+,ORG-002,A+,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-A-,ORG-002,A-,PRBC,9,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-B+,ORG-002,B+,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-B-,ORG-002,B-,PRBC,4,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-AB+,ORG-002,AB+,PRBC,11,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-AB-,ORG-002,AB-,PRBC,5,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-O+,ORG-002,O+,PRBC,0,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-002-O-,ORG-002,O-,PRBC,10,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-A+,ORG-003,A+,PRBC,15,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-A-,ORG-003,A-,PRBC,0,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-B+,ORG-003,B+,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-B-,ORG-003,B-,PRBC,11,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-AB+,ORG-003,AB+,PRBC,9,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-AB-,ORG-003,AB-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-O+,ORG-003,O+,PRBC,1,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-003-O-,ORG-003,O-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-A+,ORG-004,A+,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-A-,ORG-004,A-,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-B+,ORG-004,B+,PRBC,15,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-B-,ORG-004,B-,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-AB+,ORG-004,AB+,PRBC,4,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-AB-,ORG-004,AB-,PRBC,4,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-O+,ORG-004,O+,PRBC,15,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-004-O-,ORG-004,O-,PRBC,5,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-A+,ORG-005,A+,PRBC,8,2026-09-02 15:56:15.511450,synthetic_demo
